TimeNow,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z,Magnet_X,Magnet_Y,Magnet_Z,Yaw,Roll,Pitch
22:00:30,-0.13,-4.52,8.18,0.0,-0.125,-0.0625,-59.25,48.25,-23.5,1.43,-0.68,28.87
22:00:31,-0.12,-4.52,8.14,0.1875,0.0625,0.0625,-59.25,48.25,-21.875,1.43,-0.68,28.87
22:00:31,-0.13,-4.5,8.17,-0.0625,-0.1875,0.1875,-58.5,48.25,-23.875,1.43,-0.68,28.87
22:00:32,-0.11,-4.52,8.17,0.0,-0.125,0.0,-59.875,49.6875,-24.375,1.43,-0.68,28.87
22:00:32,-0.12,-4.53,8.14,0.125,0.0,0.0625,-57.75,47.5,-24.75,1.43,-0.68,28.87
22:00:33,-0.13,-4.52,8.2,0.0,0.0,-0.1875,-58.875,48.5625,-23.875,1.43,-0.68,28.87
22:00:34,-0.14,-4.5,8.16,0.1875,0.0,0.25,-57.75,48.5625,-23.0625,1.43,-0.68,28.87
22:00:34,-0.12,-4.51,8.14,-0.0625,-0.125,-0.125,-57.375,48.5625,-23.875,1.43,-0.68,28.87
22:00:35,-0.13,-4.51,8.16,-0.0625,-0.125,0.0,-57.375,48.25,-23.875,1.43,-0.68,28.87
22:00:35,-0.09,-4.5,8.14,0.125,0.125,0.0625,-58.0625,49.6875,-23.5,1.43,-0.68,28.87
22:00:36,-0.13,-4.52,8.16,0.0,0.1875,-0.0625,-58.0625,48.5625,-23.5,1.43,-0.68,28.87
22:00:37,-0.12,-4.52,8.17,0.0625,-0.0625,0.0,-57.375,49.0,-23.0625,1.43,-0.68,28.87
22:00:37,-0.13,-4.51,8.15,0.0,-0.0625,0.1875,-57.75,48.25,-23.875,1.43,-0.68,28.87
22:00:38,-0.1,-4.54,8.18,0.0625,0.0,0.0625,-58.0625,47.875,-22.25,1.43,-0.68,28.87
22:00:38,-0.12,-4.53,8.16,-0.125,0.0625,-0.125,-57.375,49.375,-24.75,1.43,-0.68,28.87
22:00:39,-0.11,-4.53,8.12,-0.125,-0.0625,-0.125,-59.25,49.375,-23.5,1.43,-0.68,28.87
22:00:39,-0.12,-4.52,8.16,-0.125,0.0,-0.0625,-58.0625,50.0625,-23.875,1.43,-0.68,28.87
22:00:40,-0.13,-4.53,8.18,-0.125,0.0,-0.0625,-59.25,47.875,-23.5,1.43,-0.68,28.87
22:00:41,-0.13,-4.54,8.16,0.125,0.1875,-0.0625,-58.0625,47.875,-24.375,1.43,-0.68,28.87
22:00:41,-0.14,-4.53,8.14,-0.0625,0.0,-0.3125,-58.0625,48.5625,-24.375,1.43,-0.68,28.87
22:00:42,-0.13,-4.53,8.14,-0.125,0.0,-0.0625,-59.25,48.5625,-22.6875,1.43,-0.68,28.87
22:00:42,-0.13,-4.52,8.17,0.0,-0.125,0.0625,-58.5,48.25,-22.6875,1.43,-0.68,28.87
